Unnamed: 0,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,Year
,9,Sam Novitske,0,R,So,if,15,62,11,15,4,0,0,2,2,1,8,23,2,2,0,0,0,19,74,4,11,0.242,0.347,0.306,0.654,0.21,0.065,.385,10.81,31.08,2.88,--,College,--,2019-2022,--,2020
,--,Kenyon Yovan,22,R,--,p,15,56,22,24,2,1,4,9,0,1,15,9,4,0,1,0,1,40,76,7,17,0.429,0.566,0.714,1.28,0.536,0.286,.455,19.74,11.84,0.60,14.00,AAA,--,2017-2024,2019- 27- 811-ANA,2020
,12,Gabe Matthews,22,L,Sr,1b,15,56,13,19,5,1,1,15,0,0,13,10,5,0,0,0,0,29,74,7,12,0.339,0.5,0.518,1.018,0.411,0.179,.400,17.57,13.51,0.77,56.00,AAA,--,2017-2023,2021- UDFA-ANA,2020
,31,Tanner Smith,20,L,So,of,15,55,13,13,3,0,0,4,2,0,13,10,6,0,1,0,2,16,75,3,10,0.236,0.427,0.291,0.718,0.327,0.055,.283,17.33,13.33,0.77,--,Indy,--,2019-2023,--,2020
,13,Aaron Zavala,20,L,So,of,15,55,7,23,1,0,1,22,2,0,8,3,2,0,2,0,4,27,67,2,21,0.418,0.493,0.491,0.983,0.255,0.073,.415,11.94,4.48,0.38,55.00,AA,--,2019-2024,2021- 2- 38-TEX,2020
,5,Gavin Grant,0,R,So,if,15,46,5,12,1,1,0,1,3,0,12,14,1,3,0,0,2,15,62,2,10,0.261,0.424,0.326,0.75,0.391,0.065,.375,19.35,22.58,1.17,--,College,--,2019-2023,--,2020
,35,Anthony Hall,19,L,Fr,1b,14,44,6,11,1,2,1,9,0,0,5,12,2,0,1,0,1,19,52,4,7,0.25,0.346,0.432,0.778,0.295,0.182,.313,9.62,23.08,2.40,44.00,A+,--,2020-2024,2022- 4- 130-NYA,2020
,2,Jack Scanlon,0,L,Fr,c-p,14,41,5,12,2,0,2,9,0,0,5,10,3,0,1,0,0,20,50,4,8,0.293,0.4,0.488,0.888,0.317,0.195,.333,10.0,20.0,2.00,20.50,College,--,2020-2024,--,2020
,45,Josh Kasevich,0,R,Fr,p-if,14,37,2,5,1,0,0,2,0,1,1,8,0,2,0,0,1,6,40,1,4,0.135,0.158,0.162,0.32,0.027,0.027,.172,2.5,20.0,8.00,--,AA,--,2020-2024,2022- 2- 60-TOR,2020
,20,Evan Williams,0,R,Jr,of,13,19,2,4,1,0,0,7,4,1,0,8,1,0,1,0,0,5,21,1,3,0.211,0.238,0.263,0.501,0.211,0.053,.333,0.0,38.1,--,--,College,--,2018-2021,--,2020
,11,AJ Miller,0,L,So,of,9,18,2,1,0,1,0,3,0,0,1,10,1,0,0,0,1,3,20,1,0,0.056,0.15,0.167,0.317,0.167,0.111,.125,5.0,50.0,10.00,--,College,--,2019-2023,--,2020
,17,Sam Olsson,21,R,Jr,c,10,17,1,3,0,0,0,3,0,0,2,4,1,0,1,0,1,3,21,0,3,0.176,0.286,0.176,0.462,0.118,0.0,.214,9.52,19.05,2.00,--,Indy,--,2018-2023,--,2020
,30,Sebastian Orduno,0,L,Fr,of,5,7,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,.000,0.0,28.57,--,--,College,--,2020-2024,--,2020
,43,Tristan Hanoian,0,L,Jr,if,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0.5,0.5,0.5,1.0,0.0,0.0,.500,0.0,0.0,--,--,College,--,2018-2022,--,2020
,40,Parker Schmidt,0,R,Fr,c-ut,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,.000,0.0,0.0,--,--,College,--,2020-2024,--,2020
,37,Marcus Lydon,21,R,Jr,if,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,100.0,--,--,College,--,2018-2020,--,2020
,25,Taylor Adams,23,R,Rs-Sr,of,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0,0.5,0.0,0.5,1.0,0.0,.000,50.0,0.0,0.00,--,College,--,2017-2020,--,2020
,--,Totals,--,--,--,--,184,518,91,143,21,6,9,87,13,4,84,124,28,7,8,0,13,203,645,36,107,0.276,0.4,0.392,0.792,0.295,0.116,.341,13.02,19.22,1.48,57.56,--,--,--,0,2020
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2021
,31,Tanner Smith,21,L,So,of,55,225,49,73,24,4,5,36,4,3,31,32,6,1,2,0,2,120,265,33,40,.324,.417,.533,.950,.351,.209,.358,11.70,12.08,1.03,45.00,Indy,--,2019-2023,--,2021
,4,Josh Kasevich,0,R,Fr,p-if,55,216,32,70,10,2,4,50,7,3,23,24,5,5,3,0,13,96,252,16,54,.324,.397,.444,.841,.245,.120,.346,9.13,9.52,1.04,54.00,AA,--,2020-2024,2022- 2- 60-TOR,2021
,21,Kenyon Yovan,23,R,Rs-Jr,p,51,204,53,63,10,0,17,57,1,1,28,54,10,0,6,0,3,124,248,27,36,.309,.407,.608,1.015,.436,.299,.331,11.29,21.77,1.93,12.00,AAA,--,2017-2024,2019- 27- 811-ANA,2021
,12,Gabe Matthews,23,L,Sr,1b,55,202,48,65,20,2,8,35,0,1,28,39,21,0,3,0,4,113,254,30,35,.322,.449,.559,1.008,.371,.238,.361,11.02,15.35,1.39,25.25,AAA,--,2017-2023,2021- UDFA-ANA,2021
,13,Aaron Zavala,21,L,So,of,55,199,64,78,14,3,9,38,11,2,50,31,6,0,0,0,3,125,255,26,52,.392,.525,.628,1.154,.533,.236,.434,19.61,12.16,0.62,22.11,AA,--,2019-2024,2021- 2- 38-TEX,2021
,35,Anthony Hall,20,L,Fr,1b,50,168,25,48,11,1,6,36,3,1,13,40,2,0,1,0,3,79,184,18,30,.286,.342,.470,.813,.274,.185,.341,7.07,21.74,3.08,28.00,A+,--,2020-2024,2022- 4- 130-NYA,2021
,9,Sam Novitske,0,R,So,if,52,167,24,41,8,0,1,24,10,0,21,30,7,3,3,0,7,52,201,9,32,.246,.348,.311,.660,.251,.066,.288,10.45,14.93,1.43,167.00,College,--,2019-2022,--,2021
,5,Gavin Grant,0,R,So,if,51,148,27,34,7,1,2,16,5,1,22,37,6,5,2,0,3,49,183,10,24,.230,.348,.331,.679,.277,.101,.288,12.02,20.22,1.68,74.00,College,--,2019-2023,--,2021
,2,Jack Scanlon,0,L,Fr,c-p,50,142,13,24,7,0,3,13,1,0,10,43,12,5,3,0,2,40,172,10,14,.169,.275,.282,.557,.190,.113,.212,5.81,25.00,4.30,47.33,College,--,2020-2024,--,2021
,25,Tristan Hanoian,0,L,Jr,if,24,36,5,10,2,0,0,3,0,0,6,10,0,1,1,0,0,12,44,2,8,.278,.372,.333,.705,.222,.056,.370,13.64,22.73,1.67,--,College,--,2018-2022,--,2021
,6,Robby Ashford,0,R,Fr,of,20,35,6,7,1,1,0,2,3,2,5,13,0,0,1,0,0,10,41,2,5,.200,.293,.286,.578,.257,.086,.304,12.20,31.71,2.60,--,College,--,2021-2021,--,2021
,26,Nick Bellafronto,24,R,Sr,if,20,33,5,7,2,0,0,4,0,0,6,9,3,0,1,0,1,9,43,2,5,.212,.372,.273,.645,.242,.061,.280,13.95,20.93,1.50,--,College,--,2018-2021,--,2021
,47,Bryce Boettcher,0,R,Fr,if,38,33,14,5,0,0,0,4,4,1,5,9,3,0,1,0,0,5,42,0,5,.152,.310,.152,.461,.242,.000,.200,11.90,21.43,1.80,--,College,--,2021-2024,2024- 13- 403-HOU,2021
,27,Josiah Cromwick,0,R,Fr,c,10,25,3,7,1,0,0,1,1,0,2,3,1,0,0,0,0,8,28,1,6,.280,.357,.320,.677,.160,.040,.318,7.14,10.71,1.50,--,College,--,2021-2024,--,2021
,17,Sam Olsson,22,R,Jr,c,20,22,4,7,1,0,1,7,0,0,3,6,2,0,1,0,0,11,28,2,5,.318,.429,.500,.929,.318,.182,.375,10.71,21.43,2.00,22.00,Indy,--,2018-2023,--,2021
,11,AJ Miller,0,L,So,of,10,13,0,1,0,0,0,2,0,0,1,9,0,0,1,0,0,1,15,0,1,.077,.133,.077,.210,.077,.000,.200,6.67,60.00,9.00,--,College,--,2019-2023,--,2021
,15,Colby Shade,0,R,Fr,of,28,12,2,3,0,0,0,2,1,0,0,2,0,1,0,0,0,3,13,0,3,.250,.250,.250,.500,.083,.000,.300,0.00,15.38,--,--,A+,--,2021-2024,2023- 9- 263-MIA,2021
,37,Tyler Ganus,0,R,Fr,of-1b,14,7,1,2,0,0,0,3,0,0,1,0,1,0,0,0,0,2,9,0,2,.286,.444,.286,.730,.143,.000,.286,11.11,0.00,0.00,--,College,--,2021-2024,--,2021
,10,Jack Haley,0,R,Fr,if,7,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,.500,.500,.500,1.000,.000,.000,.500,0.00,0.00,--,--,College,--,2021-2024,--,2021
,20,Evan Williams,0,R,Jr,of,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,--,--,College,--,2018-2021,--,2021
,66,R.J. Gordon,0,R,Fr,p,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,College,--,2021-2024,2024- 13- 383-NYN,2021
,--,Totals,--,--,--,--,681,1890,379,546,118,14,56,334,51,15,255,391,85,21,29,0,41,860,2280,188,358,.289,.392,.455,.847,.320,.166,.333,11.18,17.15,1.53,33.75,--,--,--,0,2021
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2009
,4,Curtis Raulinaitis,20,L,Jr,of-if,56,203,21,59,10,3,0,12,9,7,17,37,4,2,6,0,2,75,232,13,46,.291,.348,.369,.717,.172,.079,.343,7.33,15.95,2.18,--,College,--,2009-2010,--,2009
,38,Caleb Tommasini,23,R,Sr,of,55,201,26,49,2,3,2,14,16,2,15,38,8,0,5,0,2,63,229,7,42,.244,.314,.313,.628,.214,.070,.283,6.55,16.59,2.53,100.50,College,--,2009-2009,--,2009
,6,KC Serna,19,R,Fr,3b-2b,52,180,14,41,5,1,3,19,9,3,14,27,1,4,2,0,7,57,201,9,32,.228,.284,.317,.601,.200,.089,.250,6.97,13.43,1.93,60.00,AAA,--,2009-2017,2011- 42-1268-CLE,2009
,1,Daniel Pulfer,19,R,Fr,2b,55,167,12,40,1,1,0,15,4,3,19,25,7,1,11,0,4,43,205,2,38,.240,.324,.257,.581,.138,.018,.261,9.27,12.20,1.32,--,A-,--,2009-2016,2011- 19- 574-ARI,2009
,17,Mitch Karraker,20,L,So,c,51,153,8,33,7,0,1,18,0,1,12,41,1,1,1,0,2,43,168,8,25,.216,.275,.281,.556,.137,.065,.286,7.14,24.40,3.42,153.00,College,--,2009-2011,--,2009
,3,Josh Hogan,21,R,Jr,if-2b,47,128,11,28,2,0,0,5,3,2,7,23,2,0,4,0,2,30,141,2,26,.219,.262,.234,.497,.078,.016,.257,4.96,16.31,3.29,--,College,--,2009-2009,--,2009
,5,Jett Hart,20,R,Jr,ss,42,111,10,23,4,2,2,10,10,3,4,32,2,0,5,0,2,37,122,8,15,.207,.238,.333,.571,.225,.126,.256,3.28,26.23,8.00,55.50,Indy,--,2009-2011,2006- 44-1321-SDN,2009
,21,Eddie Rodriguez,20,R,--,c,34,99,12,22,7,0,1,8,4,1,11,21,2,1,4,0,7,32,117,8,14,.222,.302,.323,.625,.242,.101,.259,9.40,17.95,1.91,99.00,A-,--,2009-2011,2010- 32- 977-MIA,2009
,42,Antony Kreitz,20,R,--,of,34,89,12,23,8,2,2,10,0,0,6,17,3,0,2,0,0,41,100,12,11,.258,.320,.461,.781,.270,.202,.292,6.00,17.00,2.83,44.50,College,--,2009-2012,--,2009
,7,Andrew Schmidt,22,B,Jr,if-2b,37,85,10,18,0,0,0,6,1,0,8,15,6,0,1,0,2,18,100,0,18,.212,.320,.212,.532,.106,.000,.254,8.00,15.00,1.88,--,College,--,2009-2009,--,2009
,32,Paul Eshleman,18,R,Fr,c,29,77,5,19,2,0,2,9,0,0,1,11,1,2,1,0,0,27,82,4,15,.247,.263,.351,.613,.117,.104,.262,1.22,13.41,11.00,38.50,A+,--,2009-2015,2012- 23- 725-MIL,2009
,35,Colby Sokol,20,L,Fr,cf,27,70,4,7,2,0,1,2,0,0,3,23,0,0,1,0,0,12,74,3,4,.100,.135,.171,.307,.114,.071,.128,4.05,31.08,7.67,70.00,College,--,2009-2009,2008- 44-1326-MIN,2009
,14,Darrell Hunter,18,R,Fr,if-p,35,63,3,11,3,0,1,3,0,0,5,18,3,0,0,0,0,17,71,4,7,.175,.268,.270,.537,.175,.095,.227,7.04,25.35,3.60,63.00,A-,--,2009-2014,2014- UDFA-TEX,2009
,24,Kenny Bartz,20,L,So,of,20,35,3,9,1,3,0,3,2,0,3,8,2,0,0,0,0,16,40,4,5,.257,.350,.457,.807,.343,.200,.333,7.50,20.00,2.67,--,College,--,2009-2009,--,2009
,19,Dylan Gavin,19,R,Fr,if,21,34,4,4,0,0,0,2,1,0,2,11,2,0,1,0,1,4,39,0,4,.118,.205,.118,.323,.088,.000,.167,5.13,28.21,5.50,--,College,--,2009-2011,--,2009
,33,John Adamson,19,L,Fr,if-3b,21,26,1,5,1,1,1,6,0,0,5,12,1,0,3,0,0,11,35,3,2,.192,.314,.423,.737,.423,.231,.250,14.29,34.29,2.40,26.00,College,--,2009-2009,--,2009
,37,Sean Potkay,19,R,Fr,if,11,24,1,6,1,0,0,2,0,0,1,8,0,0,2,0,0,7,27,1,5,.250,.259,.292,.551,.083,.042,.333,3.70,29.63,8.00,--,College,--,2009-2013,--,2009
,10,Scott McGough,19,R,Fr,p,7,18,1,3,0,0,0,0,1,0,1,4,0,0,0,0,2,3,19,0,3,.167,.211,.167,.377,.111,.000,.214,5.26,21.05,4.00,--,MLB,2015-2024,2009-2024,2011- 5- 164-LAN,2009
,28,Joey Blakely,20,L,Jr,if-1b,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,--,0.00,100.00,--,--,College,--,2009-2009,--,2009
,18,Taylor Ausbun,19,R,Rs,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,College,--,2009-2012,--,2009
,--,Totals,--,--,--,--,635,1764,158,400,56,16,16,144,60,22,134,372,45,11,49,0,33,536,2003,88,312,.227,.291,.304,.595,.175,.077,.269,6.69,18.57,2.78,110.25,--,--,--,0,2009
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2023
,56,Rikuu Nishida,22,L,Jr,lf-cf,63,253,67,79,16,1,5,37,25,8,27,26,8,8,1,0,5,112,297,22,57,.312,.394,.443,.837,.304,.130,.332,9.09,8.75,0.96,50.60,A+,--,2023-2024,2023- 11- 329-CHA,2023
,15,Drew Cowley,24,L,Sr,if,63,249,64,85,22,1,16,70,6,0,29,50,8,1,1,0,5,157,288,39,46,.341,.425,.631,1.056,.430,.289,.375,10.07,17.36,1.72,15.56,College,--,2018-2023,--,2023
,31,Tanner Smith,23,L,Sr,of,63,245,50,80,20,1,11,45,7,2,24,42,3,2,2,0,5,135,276,32,48,.327,.391,.551,.942,.343,.224,.356,8.70,15.22,1.75,22.27,Indy,--,2019-2023,--,2023
,25,Jacob Walsh,20,L,So,1b,62,232,36,56,12,0,16,37,0,1,20,75,1,0,2,0,4,116,255,28,28,.241,.302,.500,.802,.341,.259,.280,7.84,29.41,3.75,14.50,College,--,2022-2024,--,2023
,26,Colby Shade,21,R,Jr,of,60,214,55,72,16,3,6,31,14,6,20,49,14,3,3,0,1,112,254,25,47,.336,.422,.523,.946,.318,.187,.407,7.87,19.29,2.45,35.67,A+,--,2021-2024,2023- 9- 263-MIA,2023
,21,Sabin Ceballos,20,R,Jr,3b,59,213,48,71,10,1,18,70,0,1,34,36,4,0,5,0,7,137,256,29,42,.333,.426,.643,1.069,.465,.310,.323,13.28,14.06,1.06,11.83,A+,--,2022-2024,2023- 3- 94-ATL,2023
,5,Gavin Grant,23,R,Sr,if,63,207,39,57,13,1,8,29,9,1,27,68,7,4,1,0,0,96,246,22,35,.275,.376,.464,.840,.357,.188,.371,10.98,27.64,2.52,25.88,College,--,2019-2023,--,2023
,16,Bennett Thompson,20,R,So,c,33,106,21,36,15,1,4,22,2,3,9,15,4,1,3,0,5,65,123,20,16,.340,.402,.613,1.015,.349,.274,.356,7.32,12.20,1.67,26.50,College,--,2022-2024,2024- 13- 385-CLE,2023
,27,Josiah Cromwick,21,R,Jr,c,40,105,16,26,7,0,7,23,3,0,6,38,4,1,1,0,0,54,117,14,12,.248,.310,.514,.825,.352,.267,.311,5.13,32.48,6.33,15.00,College,--,2021-2024,--,2023
,17,Drew Smith,20,R,Fr,if,28,96,14,35,5,2,3,18,6,2,8,20,3,0,0,0,0,53,107,10,25,.365,.430,.552,.982,.313,.188,.438,7.48,18.69,2.50,32.00,College,--,2023-2024,--,2023
,10,Owen Diodati,21,L,Jr,of,25,55,3,8,3,0,1,5,0,0,5,20,1,0,1,0,0,14,62,4,4,.145,.226,.255,.480,.200,.109,.200,8.06,32.26,4.00,55.00,College,--,2020-2023,2019- 29- 867-TOR,2023
,28,Bryce Boettcher,0,R,Jr,if,51,50,12,10,2,0,2,6,7,1,7,16,8,3,0,0,0,18,68,4,6,.200,.385,.360,.745,.420,.160,.250,10.29,23.53,2.29,25.00,College,--,2021-2024,2024- 13- 403-HOU,2023
,77,Anson Aroz,20,B,Rs-Fr,c,17,34,3,9,1,0,1,7,1,0,2,7,1,0,0,0,1,13,37,2,7,.265,.324,.382,.707,.206,.118,.308,5.41,18.92,3.50,34.00,College,--,2022-2024,--,2023
,45,Dominic Hellman,19,R,Fr,if,13,32,8,8,1,0,1,5,0,0,4,8,0,0,0,0,1,12,36,2,6,.250,.333,.375,.708,.250,.125,.304,11.11,22.22,2.00,32.00,College,--,2023-2024,--,2023
,3,Carter Garate,0,L,Fr,if,19,30,5,8,1,0,2,8,0,3,1,13,2,0,0,0,0,15,33,3,5,.267,.333,.500,.833,.167,.233,.400,3.03,39.39,13.00,15.00,College,--,2023-2024,--,2023
,22,Jackson Jaha,20,R,Fr,3b,9,14,3,4,1,0,0,0,0,0,1,2,0,0,0,0,0,5,15,1,3,.286,.333,.357,.690,.143,.071,.333,6.67,13.33,2.00,--,College,--,2023-2023,2022- 15- 449-NYN,2023
,38,Towns King,0,R,Sr,if,13,12,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,13,0,0,.000,.077,.000,.077,.083,.000,.000,7.69,46.15,6.00,--,College,--,2019-2023,--,2023
,37,Tyler Ganus,21,R,Jr,of-1b,22,9,5,2,0,0,0,0,0,1,1,3,1,0,0,0,1,2,11,0,2,.222,.364,.222,.586,.000,.000,.333,9.09,27.27,3.00,--,College,--,2021-2024,--,2023
,19,Chase Meggers,0,L,Rs-Fr,c,4,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,60.00,--,--,College,--,2023-2024,--,2023
,13,Mason Lytle,0,R,Jr,of,6,5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,.000,.167,.000,.167,.200,.000,.000,16.67,50.00,3.00,--,College,--,2020-2024,--,2023
,7,Tafton Hensley,22,R,Jr,of,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,--,0.00,100.00,--,--,College,--,2023-2024,--,2023
,--,Totals,--,--,--,--,715,2167,451,646,145,11,101,413,80,29,227,501,69,23,20,0,35,1116,2506,257,389,.298,.379,.515,.894,.345,.217,.344,9.06,19.99,2.21,21.46,--,--,--,0,2023
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2022
,31,Tanner Smith,22,L,Jr,of,61,268,58,85,13,0,11,38,12,2,18,37,5,4,1,0,2,131,296,24,61,.317,.370,.489,.859,.276,.172,.335,6.08,12.50,2.06,24.36,Indy,--,2019-2023,--,2022
,3,Brennan Milone,21,R,So,ss,60,246,46,83,15,0,12,55,2,0,25,36,5,0,3,0,4,134,279,27,56,.337,.405,.545,.950,.317,.207,.353,8.96,12.90,1.44,20.50,AA,--,2020-2024,2022- 6- 184-OAK,2022
,4,Josh Kasevich,21,R,So,ss,61,245,53,76,10,1,7,44,6,0,24,16,6,0,2,0,4,109,277,18,58,.310,.383,.445,.828,.257,.135,.308,8.66,5.78,0.67,35.00,AA,--,2020-2024,2022- 2- 60-TOR,2022
,25,Jacob Walsh,19,L,Fr,1b,58,227,35,67,18,0,6,38,5,1,23,64,1,0,0,0,6,103,251,24,43,.295,.363,.454,.816,.278,.159,.389,9.16,25.50,2.78,37.83,College,--,2022-2024,--,2022
,26,Colby Shade,0,R,So,of,60,226,46,69,13,1,5,45,16,3,26,41,11,6,2,0,0,99,271,19,50,.305,.400,.438,.838,.305,.133,.352,9.59,15.13,1.58,45.20,A+,--,2021-2024,2023- 9- 263-MIA,2022
,35,Anthony Hall,21,L,So,1b,60,225,53,75,17,5,14,56,4,2,24,43,5,0,5,0,2,144,259,36,39,.333,.402,.640,1.042,.422,.307,.353,9.27,16.60,1.79,16.07,A+,--,2020-2024,2022- 4- 130-NYA,2022
,5,Gavin Grant,0,R,Jr,if,58,181,38,52,7,1,6,31,9,1,35,39,5,4,1,0,3,79,226,14,38,.287,.414,.436,.851,.387,.149,.336,15.49,17.26,1.11,30.17,College,--,2019-2023,--,2022
,15,Drew Cowley,0,L,Jr,if,40,151,38,64,16,2,3,29,2,2,21,30,4,0,0,0,2,93,176,21,43,.424,.506,.616,1.122,.331,.192,.517,11.93,17.05,1.43,50.33,College,--,2018-2023,--,2022
,27,Josiah Cromwick,0,R,So,c,43,128,17,34,8,0,4,23,2,2,9,35,6,0,0,0,3,54,143,12,22,.266,.343,.422,.765,.227,.156,.337,6.29,24.48,3.89,32.00,College,--,2021-2024,--,2022
,9,Sam Novitske,0,R,Jr,if,44,118,26,34,3,1,2,26,5,3,20,19,1,5,3,0,3,45,147,6,28,.288,.387,.381,.769,.280,.093,.320,13.61,12.93,0.95,59.00,College,--,2019-2022,--,2022
,2,Jack Scanlon,0,L,So,c-p,39,61,10,8,1,0,3,13,0,0,2,16,7,1,1,0,1,18,72,4,4,.131,.239,.295,.535,.197,.164,.116,2.78,22.22,8.00,20.33,College,--,2020-2024,--,2022
,16,Bennett Thompson,19,R,Fr,c,18,32,8,12,1,0,1,6,1,0,5,4,0,0,0,0,1,16,37,2,10,.375,.459,.500,.959,.313,.125,.407,13.51,10.81,0.80,32.00,College,--,2022-2024,2024- 13- 385-CLE,2022
,28,Bryce Boettcher,0,R,So,if,43,22,11,4,0,1,0,3,1,2,4,2,1,0,0,0,0,6,27,1,3,.182,.333,.273,.606,.227,.091,.200,14.81,7.41,0.50,--,College,--,2021-2024,2024- 13- 403-HOU,2022
,37,Tyler Ganus,20,R,So,of-1b,33,18,9,5,0,0,1,6,1,0,3,2,1,1,0,0,0,8,23,1,4,.278,.409,.444,.854,.389,.167,.267,13.04,8.70,0.67,18.00,College,--,2021-2024,--,2022
,39,Will Riley,0,L,Sr,ut,13,6,2,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,9,0,0,.000,.333,.000,.333,.500,.000,.000,33.33,11.11,0.33,--,Indy,--,2022-2023,--,2022
,11,Taylor Holder,0,R,Rs-Fr,of,6,5,2,2,0,0,0,2,0,0,1,2,0,0,0,0,0,2,6,0,2,.400,.500,.400,.900,.200,.000,.667,16.67,33.33,2.00,--,College,--,2022-2024,--,2022
,77,Anson Aroz,0,B,Fr,c,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,--,0.00,100.00,--,--,College,--,2022-2024,--,2022
,--,Totals,--,--,--,--,698,2160,452,670,122,12,75,416,66,18,243,388,58,21,18,0,31,1041,2500,209,461,.310,.392,.482,.874,.306,.172,.347,9.72,15.52,1.60,28.80,--,--,--,0,2022
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2019
,9,Sam Novitske,0,R,Fr,if,56,233,48,70,8,1,0,21,8,6,34,51,6,4,1,0,0,80,278,9,61,.300,.401,.343,.745,.197,.043,.383,12.23,18.35,1.50,--,College,--,2019-2022,--,2019
