Unnamed: 0,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,Year
,5,Slade Heggen,0,R,Rs-Fr,c-of,22,36,5,7,2,1,0,2,1,0,3,11,1,1,0,0,2,11,41,3,4,.194,.275,.306,.581,.222,.111,.280,7.32,26.83,3.67,--,College,--,2016-2019,--,2016
,28,Matt Eureste,22,L,Sr,ss,16,21,4,2,0,0,0,0,0,0,2,6,5,0,0,0,0,2,28,0,2,.095,.321,.095,.417,.095,.000,.133,7.14,21.43,3.00,--,A+,--,2012-2019,2011- 40-1208-CLE,2016
,24,Mark Karaviotis,20,R,Jr,ss,7,13,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,1,14,0,1,.077,.143,.077,.220,.000,.000,.091,0.00,14.29,--,--,AA,--,2014-2023,2016- 19- 569-ARI,2016
,--,Totals,--,--,--,--,647,1777,284,413,80,11,27,257,57,25,249,368,54,51,18,0,21,596,2149,118,295,.232,.341,.335,.677,.261,.103,.276,11.59,17.12,1.48,65.81,--,--,--,0,2016
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2017
,1,Kyle Kasser,21,L,Jr,ss,55,213,34,75,9,0,1,24,6,3,25,18,8,10,2,0,3,87,258,10,65,.352,.435,.408,.844,.188,.056,.378,9.69,6.98,0.72,213.00,AAA,--,2015-2023,2018- 30- 902-KCA,2017
,16,Jake Bennett,0,L,So,o,55,207,29,56,7,1,2,30,3,5,23,29,3,6,4,0,5,71,243,10,46,.271,.346,.343,.689,.174,.072,.300,9.47,11.93,1.26,103.50,College,--,2014-2017,--,2017
,13,Spencer Steer,19,R,Fr,3b,54,191,23,50,12,3,2,35,4,2,18,24,13,3,5,0,5,74,230,17,33,.262,.357,.387,.744,.230,.126,.282,7.83,10.43,1.33,95.50,MLB,2022-2024,2017-2024,2019- 3- 90-MIN,2017
,12,Gabe Matthews,19,L,Fr,1b,51,177,21,50,7,1,3,26,1,1,24,34,6,0,3,0,5,68,210,11,39,.282,.381,.384,.765,.237,.102,.329,11.43,16.19,1.42,59.00,AAA,--,2017-2023,2021- UDFA-ANA,2017
,9,Morgan McCullough,19,L,Fr,ss,53,170,24,46,6,4,1,21,8,4,27,32,3,7,1,0,3,63,208,11,35,.271,.378,.371,.749,.282,.100,.326,12.98,15.38,1.19,170.00,AAA,--,2017-2024,2019- 22- 661-ANA,2017
,6,Tim Susnara,21,L,Jr,c,50,160,24,39,7,0,5,17,2,0,19,39,6,3,2,0,0,61,190,12,27,.244,.342,.381,.723,.269,.138,.288,10.00,20.53,2.05,32.00,AAA,--,2015-2023,2017- 8- 232-ARI,2017
,33,AJ Balta,0,L,Rs-Jr,ut,50,125,16,25,6,0,1,12,1,3,14,32,9,3,1,0,1,34,152,7,18,.200,.322,.272,.594,.168,.072,.258,9.21,21.05,2.29,125.00,College,--,2014-2018,--,2017
,26,Daniel Patzlaff,0,B,Jr,if,42,113,14,23,1,0,2,16,2,0,14,25,4,1,2,0,3,30,134,3,20,.204,.308,.265,.574,.204,.062,.239,10.45,18.66,1.79,56.50,College,--,2015-2018,--,2017
,46,Taylor Travess,21,L,Jr,if,41,89,16,22,4,1,1,8,2,1,8,15,0,2,0,0,0,31,99,6,16,.247,.309,.348,.658,.202,.101,.288,8.08,15.15,1.88,89.00,College,--,2017-2018,--,2017
,43,Braden Stutzman,0,B,Rs-Fr,c-if,25,44,8,7,2,0,0,4,0,1,12,13,3,3,1,0,1,9,63,2,5,.159,.367,.205,.571,.295,.045,.219,19.05,20.63,1.08,--,College,--,2017-2020,--,2017
,5,Slade Heggen,0,R,Rs-So,c-of,19,40,5,9,0,0,1,4,1,0,5,18,1,0,0,0,2,12,46,1,8,.225,.326,.300,.626,.225,.075,.381,10.87,39.13,3.60,40.00,College,--,2016-2019,--,2017
,21,Kenyon Yovan,19,R,Fr,p,35,38,3,5,1,0,0,5,0,0,6,16,2,1,0,0,0,6,47,1,4,.132,.283,.158,.441,.184,.026,.227,12.77,34.04,2.67,--,AAA,--,2017-2024,2019- 27- 811-ANA,2017
,4,Carson Breshears,0,L,Rs-So,if,41,26,5,4,1,0,0,3,0,1,3,6,0,2,0,0,2,5,31,1,3,.154,.241,.192,.434,.115,.038,.200,9.68,19.35,2.00,--,College,--,2016-2019,--,2017
,29,Ryne Nelson,19,R,Fr,p,26,24,4,4,1,0,0,1,0,0,5,10,0,2,0,0,0,5,31,1,3,.167,.310,.208,.519,.250,.042,.286,16.13,32.26,2.00,--,MLB,2022-2024,2017-2024,2019- 2- 56-ARI,2017
,34,Jason Drees,0,L,Fr,of,6,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0,1,.200,.333,.200,.533,.000,.000,.250,0.00,16.67,--,--,College,--,2017-2018,--,2017
,--,Totals,--,--,--,--,603,1622,227,416,64,10,19,206,30,21,203,312,59,43,21,0,30,557,1948,93,323,.256,.356,.343,.699,.218,.087,.303,10.42,16.02,1.54,85.37,--,--,--,0,2017
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2013
,6,Scott Heineman,20,R,So,of,61,230,28,64,14,1,4,38,12,6,15,50,10,5,2,0,2,92,262,19,45,.278,.346,.400,.746,.213,.122,.337,5.73,19.08,3.33,57.50,MLB,2019-2021,2012-2022,2015- 11- 318-TEX,2013
,25,Ryon Healy,21,R,Jr,3b,59,228,44,76,20,0,11,56,5,3,28,24,2,0,2,0,5,129,260,31,45,.333,.408,.566,.973,.364,.232,.333,10.77,9.23,0.86,20.73,MLB,2016-2020,2011-2020,2013- 3- 100-OAK,2013
,2,Brett Thomas,21,L,Jr,of,54,208,45,66,15,0,2,28,12,3,22,50,10,5,2,0,2,87,247,17,49,.317,.405,.418,.823,.250,.101,.405,8.91,20.24,2.27,104.00,A,--,2011-2014,2013- 21- 627-SEA,2013
,20,Aaron Payne,21,L,,if,62,203,39,49,3,3,0,19,16,5,27,41,16,22,4,0,0,58,272,6,43,.241,.368,.286,.654,.232,.044,.295,9.93,15.07,1.52,--,Indy,--,2011-2015,--,2013
,22,J.J. Altobelli,22,R,Sr,3b-ss,64,199,38,55,6,1,0,24,8,3,25,24,3,9,0,0,5,63,236,7,48,.276,.366,.317,.682,.191,.040,.314,10.59,10.17,0.96,--,Rk,--,2010-2013,2013- 18- 545-SLN,2013
,37,Mitchell Tolman,19,L,Fr,if,49,165,16,52,9,1,1,37,2,5,18,25,6,13,5,0,2,66,207,11,41,.315,.392,.400,.792,.176,.085,.354,8.70,12.08,1.39,165.00,AAA,--,2013-2023,2015- 7- 217-PIT,2013
,13,Tyler Baumgartner,0,L,--,of,49,162,23,44,10,4,2,22,7,3,9,33,2,7,1,0,1,68,181,16,28,.272,.316,.420,.736,.228,.148,.328,4.97,18.23,3.67,81.00,College,--,2013-2014,--,2013
,21,Ryan Hambright,22,L,Sr,if-p,45,143,10,26,5,1,0,11,3,1,10,33,4,5,0,0,4,33,162,6,20,.182,.255,.231,.486,.133,.049,.236,6.17,20.37,3.30,--,College,--,2010-2013,--,2013
,1,Connor Hofmann,21,L,Jr,of,53,134,14,26,6,1,0,10,9,0,9,41,3,13,1,0,1,34,160,7,19,.194,.259,.254,.512,.194,.060,.277,5.63,25.63,4.56,--,Indy,--,2011-2018,2010- 16- 484-SDN,2013
,18,Josh Graham,19,R,Fr,c,46,102,13,15,5,0,1,11,0,1,10,30,4,6,2,0,5,23,124,6,9,.147,.246,.225,.471,.167,.078,.192,8.06,24.19,3.00,102.00,AA,--,2013-2022,2015- 4- 120-ATL,2013
,29,Steven Packard,21,L,Jr,of,41,95,10,22,3,1,0,7,4,1,10,14,3,4,0,0,0,27,112,4,18,.232,.324,.284,.608,.189,.053,.272,8.93,12.50,1.40,--,College,--,2010-2016,--,2013
,16,Shaun Chase,0,R,So,c,43,87,11,18,3,0,3,7,0,1,10,40,1,7,1,0,0,30,106,6,12,.207,.293,.345,.638,.241,.138,.333,9.43,37.74,4.00,29.00,College,--,2012-2015,--,2013
,7,Nick Catalano,0,R,Fr,of,25,38,8,9,3,0,0,1,0,1,6,15,0,0,0,0,0,12,44,3,6,.237,.341,.316,.657,.211,.079,.391,13.64,34.09,2.50,--,College,--,2013-2016,--,2013
,4,Kyle Garlick,21,R,Jr,of,10,31,4,3,1,2,0,4,1,0,4,5,1,0,2,0,1,8,38,3,0,.097,.211,.258,.469,.323,.161,.107,10.53,13.16,1.25,--,MLB,2019-2023,2011-2024,2015- 28- 852-LAN,2013
,39,Desmond Santos,0,R,,if,21,16,6,1,1,0,0,1,1,0,4,3,1,0,0,0,0,2,21,1,0,.063,.286,.125,.411,.375,.063,.077,19.05,14.29,0.75,--,College,--,2013-2014,--,2013
,9,Kevin Minjares,0,R,--,if,27,15,4,4,0,0,0,2,1,0,0,3,2,2,0,0,0,4,19,0,4,.267,.353,.267,.620,.067,.000,.333,0.00,15.79,--,--,College,--,2012-2014,--,2013
,28,Craig Meredith,0,R,--,if,10,11,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,4,11,1,2,.273,.273,.364,.636,.091,.091,.273,0.00,0.00,--,--,College,--,2013-2014,--,2013
,--,Totals,--,--,--,--,719,2067,313,533,105,15,24,279,81,33,207,431,68,98,22,0,28,740,2462,144,389,.258,.342,.358,.700,.224,.100,.312,8.41,17.51,2.08,86.13,--,--,--,0,2013
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2012
,25,Ryon Healy,20,R,So,3b,65,253,35,79,13,1,4,42,3,2,23,45,5,4,2,0,2,106,287,18,61,.312,.378,.419,.797,.202,.107,.364,8.01,15.68,1.96,63.25,MLB,2016-2020,2011-2020,2013- 3- 100-OAK,2012
,20,Aaron Payne,20,L,Sr,if,65,235,42,65,8,4,1,27,16,6,27,42,25,18,2,0,1,84,307,13,52,.277,.405,.357,.762,.238,.081,.330,8.79,13.68,1.56,235.00,Indy,--,2011-2015,--,2012
,9,Aaron Jones,21,R,So,c,56,208,38,63,13,2,6,39,7,5,23,39,9,8,4,0,5,98,252,21,42,.303,.389,.471,.860,.288,.168,.341,9.13,15.48,1.70,34.67,College,--,2011-2012,2012- 18- 558-COL,2012
,4,Kyle Garlick,20,R,So,of,61,202,28,58,11,4,6,41,9,5,29,38,5,3,5,0,1,95,244,21,37,.287,.382,.470,.852,.347,.183,.319,11.89,15.57,1.31,33.67,MLB,2019-2023,2011-2024,2015- 28- 852-LAN,2012
,2,Brett Thomas,20,L,So,of,59,201,22,63,14,4,1,25,9,4,14,36,4,9,1,0,5,88,229,19,44,.313,.368,.438,.806,.219,.124,.376,6.11,15.72,2.57,201.00,A,--,2011-2014,2013- 21- 627-SEA,2012
,22,J.J. Altobelli,21,R,Jr,3b-ss,52,200,32,53,12,1,0,14,6,7,20,12,8,4,1,0,2,67,233,13,40,.265,.354,.335,.689,.165,.070,.280,8.58,5.15,0.60,--,Rk,--,2010-2013,2013- 18- 545-SLN,2012
,33,Brett Hambright,23,R,Sr,c,59,157,16,34,6,0,1,15,1,1,26,24,4,14,1,0,2,43,202,7,27,.217,.340,.274,.614,.223,.057,.248,12.87,11.88,0.92,157.00,College,--,2008-2012,2009- 38-1141-COL,2012
,1,Connor Hofmann,20,L,So,of,58,142,19,34,2,1,3,14,9,3,13,37,4,12,3,0,1,47,174,6,28,.239,.315,.331,.646,.225,.092,.295,7.47,21.26,2.85,47.33,Indy,--,2011-2018,2010- 16- 484-SDN,2012
,21,Ryan Hambright,21,L,Jr,if-p,38,102,11,27,2,1,1,12,0,0,9,21,0,0,1,0,0,34,112,4,23,.265,.321,.333,.655,.157,.069,.321,8.04,18.75,2.33,102.00,College,--,2010-2013,--,2012
,6,Scott Heineman,19,R,Fr,of,29,90,16,17,3,1,1,9,7,0,19,22,3,1,2,0,0,25,115,5,12,.189,.342,.278,.620,.378,.089,.232,16.52,19.13,1.16,90.00,MLB,2019-2021,2012-2022,2015- 11- 318-TEX,2012
,16,Shaun Chase,0,R,Fr,c,25,73,10,13,5,1,2,9,0,0,6,30,1,4,0,0,0,26,84,8,5,.178,.250,.356,.606,.260,.178,.268,7.14,35.71,5.00,36.50,College,--,2012-2015,--,2012
,42,Thomas Walker,0,R,Fr,if,25,66,10,15,3,0,1,4,0,2,5,7,2,0,0,0,2,21,73,4,11,.227,.301,.318,.620,.136,.091,.241,6.85,9.59,1.40,66.00,College,--,2012-2016,--,2012
,48,Kevin Shepherd,0,R,Sr,if,39,57,9,11,0,0,0,4,3,4,10,16,5,5,1,0,1,11,78,0,11,.193,.356,.193,.549,.158,.000,.262,12.82,20.51,1.60,--,College,--,2012-2012,--,2012
,15,Andrew Mendenhall,21,R,Jr,of,41,55,7,12,1,0,1,6,3,3,10,12,0,4,0,0,0,16,69,2,10,.218,.338,.291,.629,.255,.073,.262,14.49,17.39,1.20,55.00,College,--,2010-2012,--,2012
,37,Vernell Warren,23,R,Sr,2b,38,35,5,12,2,0,0,2,0,2,3,9,0,1,1,0,0,14,40,2,10,.343,.385,.400,.785,.086,.057,.444,7.50,22.50,3.00,--,College,--,2012-2012,2007- 36-1093-ATL,2012
,23,Jordan Spencer,19,L,Fr,if,13,18,1,2,0,0,0,0,0,0,6,2,1,0,0,0,1,2,25,0,2,.111,.360,.111,.471,.333,.000,.125,24.00,8.00,0.33,--,Indy,--,2012-2015,--,2012
,7,Billy Flamion,19,L,Fr,p,10,11,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,1,12,0,1,.091,.167,.091,.258,.091,.000,.125,8.33,25.00,3.00,--,Rk,--,2012-2014,2013- 15- 454-LAN,2012
,38,Daniel Pardini,0,R,So,c,12,10,2,1,0,0,1,2,0,0,1,5,1,1,0,0,0,4,13,1,0,.100,.250,.400,.650,.400,.300,.000,7.69,38.46,5.00,10.00,College,--,2011-2012,--,2012
,35,Antony Kreitz,23,R,--,of,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,.500,.500,.500,1.000,.000,.000,.500,0.00,0.00,--,--,College,--,2009-2012,--,2012
,--,Totals,--,--,--,--,751,2119,304,562,95,20,29,266,73,44,245,400,77,88,24,0,23,784,2553,144,418,.265,.359,.370,.729,.234,.105,.311,9.60,15.67,1.63,73.07,--,--,--,0,2012
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2010
,1,Daniel Pulfer,20,R,So,2b,64,247,47,74,14,0,3,38,6,6,19,39,6,2,12,0,9,97,286,17,57,.300,.349,.393,.741,.170,.093,.327,6.64,13.64,2.05,82.33,A-,--,2009-2016,2011- 19- 574-ARI,2010
,6,KC Serna,20,R,So,3b-2b,58,233,45,81,13,1,5,37,14,8,22,23,9,3,7,0,5,111,274,19,62,.348,.413,.476,.890,.249,.129,.358,8.03,8.39,1.05,46.60,AAA,--,2009-2017,2011- 42-1268-CLE,2010
,12,Eddie Rodriguez,21,R,--,c,63,228,38,75,12,1,7,45,2,3,22,36,6,2,4,0,4,110,262,20,55,.329,.396,.482,.879,.246,.154,.360,8.40,13.74,1.64,32.57,A-,--,2009-2011,2010- 32- 977-MIA,2010
,49,J.J. Altobelli,19,R,Fr,3b-ss,57,200,31,55,8,1,1,33,3,2,14,25,6,1,8,0,9,68,229,10,45,.275,.329,.340,.669,.140,.065,.297,6.11,10.92,1.79,200.00,Rk,--,2010-2013,2013- 18- 545-SLN,2010
,27,Jack Marder,20,R,Fr,2b,57,197,38,49,11,1,5,33,7,0,14,27,15,1,10,0,7,77,237,17,32,.249,.331,.391,.721,.249,.142,.251,5.91,11.39,1.93,39.40,AA,--,2010-2014,2011- 16- 483-SEA,2010
,28,Marcus Piazzisi,20,L,Jr,of,61,186,39,50,13,3,3,34,12,3,27,22,3,1,6,0,7,78,223,19,31,.269,.360,.419,.780,.344,.151,.281,12.11,9.87,0.81,62.00,College,--,2010-2011,--,2010
,--,Steven Packard,18,L,Fr,of,52,159,23,53,11,0,2,18,0,4,19,13,3,1,2,0,2,70,184,13,40,.333,.410,.440,.850,.201,.107,.349,10.33,7.07,0.68,79.50,College,--,2010-2016,--,2010
,4,Curtis Raulinaitis,21,L,Sr,of-if,60,151,30,42,6,2,2,32,13,1,19,23,3,2,5,0,3,58,180,10,32,.278,.360,.384,.744,.311,.106,.305,10.56,12.78,1.21,75.50,College,--,2009-2010,--,2010
,51,Shawn Peterson,22,R,Jr,if,47,120,16,42,10,0,0,19,0,0,10,26,7,1,2,0,2,52,140,10,32,.350,.424,.433,.858,.167,.083,.438,7.14,18.57,2.60,--,College,--,2010-2011,--,2010
,32,Paul Eshleman,19,R,So,c,32,88,11,22,8,0,3,8,0,0,3,25,1,0,2,0,1,39,94,11,11,.250,.277,.443,.720,.227,.193,.306,3.19,26.60,8.33,29.33,A+,--,2009-2015,2012- 23- 725-MIL,2010
,5,Jett Hart,21,R,Sr,ss,57,72,13,17,2,2,0,3,9,0,10,21,2,0,6,0,2,23,90,4,13,.236,.322,.319,.642,.347,.083,.298,11.11,23.33,2.10,--,Indy,--,2009-2011,2006- 44-1321-SDN,2010
,46,Ryan Hambright,19,L,Fr,if-p,33,67,15,15,1,0,0,4,0,0,13,20,3,0,3,0,0,16,86,1,14,.224,.360,.239,.599,.209,.015,.300,15.12,23.26,1.54,--,College,--,2010-2013,--,2010
,15,Andrew Mendenhall,19,R,Fr,of,36,44,6,14,4,0,0,5,4,2,2,10,2,0,6,0,0,18,54,4,10,.318,.333,.409,.742,.182,.091,.350,3.70,18.52,5.00,--,College,--,2010-2012,--,2010
,19,Dylan Gavin,20,R,So,if,28,43,11,13,0,1,1,7,2,0,4,8,0,0,3,0,0,18,50,2,11,.302,.340,.419,.759,.256,.116,.324,8.00,16.00,2.00,43.00,College,--,2009-2011,--,2010
,17,Mitch Karraker,21,L,Jr,c,25,40,10,12,5,0,0,8,0,1,13,8,0,0,0,0,1,17,53,5,7,.300,.472,.425,.897,.425,.125,.375,24.53,15.09,0.62,--,College,--,2009-2011,--,2010
,35,Nick Wagner,19,R,Fr,p,17,27,2,5,1,0,0,6,0,0,2,9,0,0,0,0,2,6,29,1,4,.185,.241,.222,.464,.111,.037,.278,6.90,31.03,4.50,--,Rk,--,2010-2014,2014- 31- 929-ANA,2010
,--,Steve Kaupang,21,R,Jr,1b,10,25,0,1,0,0,0,1,0,0,2,11,0,0,1,0,1,1,28,0,1,.040,.107,.040,.147,.080,.000,.067,7.14,39.29,5.50,--,College,--,2008-2010,2009- 50-1515-NYA,2010
,2,Scott McGough,20,R,So,p,6,8,1,3,1,0,0,1,1,1,2,0,1,0,1,0,0,4,12,1,2,.375,.500,.500,1.000,.375,.125,.333,16.67,0.00,0.00,--,MLB,2015-2024,2009-2024,2011- 5- 164-LAN,2010
,18,Taylor Ausbun,20,R,Fr,c,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,.500,.500,.500,1.000,.000,.000,.500,0.00,0.00,--,--,College,--,2009-2012,--,2010
,--,Totals,--,--,--,--,765,2137,376,624,120,12,32,332,73,31,217,346,67,14,78,0,55,864,2513,164,460,.292,.363,.404,.768,.234,.112,.322,8.64,13.77,1.59,66.78,--,--,--,0,2010
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2011
,1,Daniel Pulfer,21,R,Jr,2b,59,225,38,79,16,2,2,20,8,7,24,29,6,8,1,0,6,105,264,20,59,.351,.426,.467,.892,.227,.116,.395,9.09,10.98,1.21,112.50,A-,--,2009-2016,2011- 19- 574-ARI,2011
,9,Aaron Jones,20,R,Fr,c,59,211,29,57,10,2,2,36,6,2,25,41,10,12,3,0,2,77,261,14,43,.270,.369,.365,.734,.232,.095,.322,9.58,15.71,1.64,105.50,College,--,2011-2012,2012- 18- 558-COL,2011
,49,J.J. Altobelli,20,R,So,3b-ss,59,203,26,48,12,1,0,20,7,1,13,24,2,13,3,0,1,62,234,13,35,.236,.285,.305,.590,.163,.069,.264,5.56,10.26,1.85,--,Rk,--,2010-2013,2013- 18- 545-SLN,2011
,6,KC Serna,21,R,Jr,3b-2b,51,177,34,41,8,0,2,22,12,1,24,30,5,5,2,0,3,55,213,10,31,.232,.337,.311,.647,.277,.079,.265,11.27,14.08,1.25,88.50,AAA,--,2009-2017,2011- 42-1268-CLE,2011
,7,Jack Marder,21,R,So,2b,45,139,19,29,6,0,2,19,10,3,17,27,17,5,2,0,1,41,180,8,21,.209,.360,.295,.655,.259,.086,.241,9.44,15.00,1.59,69.50,AA,--,2010-2014,2011- 16- 483-SEA,2011
,16,Stefan Sabol,19,R,Fr,of,39,126,10,32,7,1,1,15,2,0,22,29,2,2,1,0,1,44,153,9,23,.254,.371,.349,.720,.286,.095,.320,14.38,18.95,1.32,126.00,AA,--,2011-2017,2012- 17- 530-NYN,2011
,25,Ryon Healy,19,R,Fr,3b,37,122,20,39,10,1,4,20,2,2,9,21,2,2,1,0,2,63,136,15,24,.320,.373,.516,.890,.270,.197,.357,6.62,15.44,2.33,30.50,MLB,2016-2020,2011-2020,2013- 3- 100-OAK,2011
,12,Shawn Peterson,23,R,Sr,if,44,118,13,35,6,0,1,17,0,1,7,30,7,4,3,0,3,44,139,7,28,.297,.363,.373,.736,.127,.076,.378,5.04,21.58,4.29,118.00,College,--,2010-2011,--,2011
,4,Kyle Garlick,19,R,Fr,of,32,104,14,26,3,2,2,21,0,2,8,23,1,0,3,0,2,39,116,7,19,.250,.302,.375,.677,.183,.125,.293,6.90,19.83,2.88,52.00,MLB,2019-2023,2011-2024,2015- 28- 852-LAN,2011
,5,Brett Thomas,19,L,Fr,of,43,103,14,30,5,1,0,10,1,5,15,28,4,13,0,0,1,37,135,6,24,.291,.402,.359,.761,.175,.068,.400,11.11,20.74,1.87,--,A,--,2011-2014,2013- 21- 627-SEA,2011
,22,Tyler Kuresa,18,L,Fr,1b,33,89,9,17,5,1,0,9,1,0,7,19,2,1,1,0,2,24,100,6,11,.191,.263,.270,.532,.169,.079,.239,7.00,19.00,2.71,--,A,--,2011-2015,2014- 16- 470-MIN,2011
,46,Ryan Hambright,20,L,So,if-p,33,74,5,14,1,0,0,6,1,0,6,12,3,1,1,0,2,15,85,1,13,.189,.274,.203,.477,.108,.014,.222,7.06,14.12,2.00,--,College,--,2010-2013,--,2011
,33,Brett Hambright,22,R,Jr,c,30,69,8,18,1,0,0,11,0,0,10,10,2,2,0,0,0,19,83,1,17,.261,.370,.275,.646,.159,.014,.305,12.05,12.05,1.00,--,College,--,2008-2012,2009- 38-1141-COL,2011
,15,Andrew Mendenhall,20,R,So,of,45,53,11,12,2,0,1,5,4,1,8,10,3,4,0,0,0,17,68,3,9,.226,.359,.321,.680,.302,.094,.262,11.76,14.71,1.25,53.00,College,--,2010-2012,--,2011
,28,Marcus Piazzisi,21,L,Sr,of,19,49,10,11,2,0,0,5,3,1,10,5,0,7,0,0,0,13,66,2,9,.224,.356,.265,.621,.286,.041,.250,15.15,7.58,0.50,--,College,--,2010-2011,--,2011
,32,Paul Eshleman,20,R,Jr,c,24,42,5,10,1,0,2,9,0,0,1,13,0,0,5,0,0,17,48,3,7,.238,.229,.405,.634,.190,.167,.250,2.08,27.08,13.00,21.00,A+,--,2009-2015,2012- 23- 725-MIL,2011
,18,Connor Hofmann,19,L,Fr,of,23,33,7,7,1,0,0,4,3,1,0,11,3,1,1,0,0,8,38,1,6,.212,.270,.242,.513,.091,.030,.304,0.00,28.95,--,--,Indy,--,2011-2018,2010- 16- 484-SDN,2011
,20,Aaron Payne,19,L,Jr,if,12,16,4,3,0,0,0,0,0,0,2,5,1,3,0,0,1,3,22,0,3,.188,.316,.188,.503,.125,.000,.273,9.09,22.73,2.50,--,Indy,--,2011-2015,--,2011
,19,Dylan Gavin,21,R,Jr,if,21,14,6,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,16,0,0,.000,.067,.000,.067,.071,.000,.000,6.25,12.50,2.00,--,College,--,2009-2011,--,2011
,17,Mitch Karraker,22,L,Sr,c,6,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,0,1,.167,.167,.167,.333,.000,.000,.333,0.00,50.00,--,--,College,--,2009-2011,--,2011
,10,Scott McGough,21,R,Jr,p,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,1,.200,.200,.200,.400,.000,.000,.200,0.00,0.00,--,--,MLB,2015-2024,2009-2024,2011- 5- 164-LAN,2011
,36,Erik Bonn,0,R,So,c,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,--,--,College,--,2011-2011,--,2011
,38,Daniel Pardini,0,R,Fr,c,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,--,1.000,--,--,--,--,--,100.00,0.00,0.00,--,College,--,2011-2012,--,2011
,--,Totals,--,--,--,--,718,1979,282,510,96,11,19,252,61,28,210,372,70,84,27,0,27,685,2370,126,384,.258,.346,.346,.692,.211,.088,.304,8.86,15.70,1.77,104.16,--,--,--,0,2011
