Unnamed: 0,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,Year
,16,Robby Ahlstrom,21,L,Jr,Starter,2,1,4,4,0,0,0,0,0,23.2,29,16,16,0,7,18,0,0,1,6.08,1.52,11.03,0.0,2.66,6.85,6.08,2.57,AAA,--,2019-2024,2021- 7- 213-NYA,2020
,3,Brett Walker,21,R,Jr,St/Rel,3,0,5,3,0,0,2,0,0,21.1,13,2,2,1,1,10,0,0,1,0.84,0.66,5.48,0.42,0.42,4.22,0.84,10.0,College,--,2018-2022,--,2020
,32,Peyton Fuller,21,R,Jr,Starter,1,0,4,4,0,0,0,0,0,19.0,18,9,6,0,5,17,1,0,4,2.84,1.21,8.53,0.0,2.37,8.05,4.26,3.4,College,--,2018-2023,--,2020
,33,Cullen Kafka,21,R,Jr,Starter,0,1,4,4,0,0,0,0,0,18.1,20,15,10,0,10,16,3,0,3,4.91,1.64,9.82,0.0,4.91,7.85,7.36,1.6,A+,--,2018-2023,2021- 9- 260-COL,2020
,47,Hunter Breault,21,R,Jr,Reliever,1,1,7,0,0,0,7,0,1,9.2,5,1,0,0,5,3,1,0,0,0.0,1.03,4.66,0.0,4.66,2.79,0.93,0.6,AAA,--,2018-2024,2021- 20- 608-OAK,2020
,23,Andrew Mosiello,0,R,Fr,Reliever,0,0,4,0,0,0,4,0,1,9.2,6,5,5,0,3,9,0,0,2,4.66,0.93,5.59,0.0,2.79,8.38,4.66,3.0,College,--,2020-2024,--,2020
,24,Kolby Somers,21,L,Jr,Reliever,1,0,6,0,0,0,6,0,0,8.0,2,0,0,0,2,5,1,0,0,0.0,0.5,2.25,0.0,2.25,5.62,0.0,2.5,College,--,2018-2022,2017- 38-1143-SEA,2020
,7,Nico Tellache,22,L,Sr,Reliever,0,0,6,0,0,0,6,0,0,7.0,7,3,3,1,4,8,1,0,0,3.86,1.57,9.0,1.29,5.14,10.29,3.86,2.0,AAA,--,2017-2023,--,2020
,19,Keaton Chase,0,R,So,Reliever,0,1,7,0,0,0,7,0,0,6.1,7,7,6,0,4,5,1,0,1,8.53,1.74,9.95,0.0,5.68,7.11,9.95,1.25,College,--,2019-2024,--,2020
,41,Decker Stedman,0,L,Fr,Reliever,0,1,4,0,0,0,4,0,0,5.2,4,2,1,0,1,7,3,0,2,1.59,0.88,6.35,0.0,1.59,11.12,3.18,7.0,College,--,2020-2024,--,2020
,22,Christian Ciuffetelli,0,R,So,Reliever,0,2,4,0,0,0,4,0,0,4.2,7,7,6,1,7,5,1,0,1,11.57,3.0,13.5,1.93,13.5,9.64,13.5,0.71,A,--,2019-2024,--,2020
,--,Kenyon Yovan,22,R,--,Reliever,0,0,2,0,0,0,2,0,0,1.1,4,3,3,0,3,0,0,0,0,20.25,5.25,27.0,0.0,20.25,0.0,20.25,0.0,AAA,--,2017-2024,2019- 27- 811-ANA,2020
,39,Hayden Rasica,0,R,Fr,Reliever,0,0,1,0,0,0,1,0,0,1.0,1,0,0,0,1,2,0,0,0,0.0,2.0,9.0,0.0,9.0,18.0,0.0,2.0,College,--,2020-2020,--,2020
,--,Totals,--,--,--,--,8,7,58,15,0,0,43,0,2,135.2,123,70,58,3,53,105,12,0,15,3.85,1.3,8.16,0.2,3.52,6.97,4.64,1.98,--,--,--,0,2020
,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,2021
,16,Robby Ahlstrom,22,L,Jr,Starter,9,3,14,14,0,0,0,0,0,90.0,77,28,25,4,16,92,8,0,5,2.50,1.03,7.70,0.40,1.60,9.20,2.80,5.75,AAA,--,2019-2024,2021- 7- 213-NYA,2021
,3,Brett Walker,22,R,Jr,Starter,6,3,15,15,0,0,0,0,0,83.2,81,41,34,9,26,60,2,3,7,3.66,1.28,8.71,0.97,2.80,6.45,4.41,2.31,College,--,2018-2022,--,2021
,33,Cullen Kafka,22,R,Jr,Starter,5,3,15,15,0,0,0,0,0,78.0,73,38,26,5,35,84,11,0,12,3.00,1.38,8.42,0.58,4.04,9.69,4.38,2.40,A+,--,2018-2023,2021- 9- 260-COL,2021
,23,Andrew Mosiello,0,R,Fr,Rel/St,3,1,21,1,0,0,20,0,2,39.1,34,18,18,4,8,52,5,0,8,4.12,1.07,7.78,0.92,1.83,11.90,4.12,6.50,College,--,2020-2024,--,2021
,1,Isaac Ayon,0,R,Fr,Rel/St,2,1,22,2,0,0,20,0,0,38.0,40,24,22,5,15,44,3,2,4,5.21,1.45,9.47,1.18,3.55,10.42,5.68,2.93,College,--,2021-2022,2023- 20- 585-WAS,2021
,7,Nico Tellache,23,L,Sr,Rel/St,3,0,20,1,0,0,19,0,0,33.2,35,21,20,3,14,37,3,2,0,5.35,1.46,9.36,0.80,3.74,9.89,5.61,2.64,AAA,--,2017-2023,--,2021
,24,Kolby Somers,22,L,Jr,Closer,2,2,20,0,0,0,20,0,11,26.1,14,9,9,1,14,37,4,2,0,3.08,1.06,4.78,0.34,4.78,12.65,3.08,2.64,College,--,2018-2022,2017- 38-1143-SEA,2021
,66,R.J. Gordon,0,R,Fr,Rel/St,3,0,14,3,0,0,11,0,0,19.1,24,10,9,2,9,20,0,1,4,4.19,1.71,11.17,0.93,4.19,9.31,4.66,2.22,College,--,2021-2024,2024- 13- 383-NYN,2021
,47,Hunter Breault,22,R,Jr,Reliever,1,1,15,0,0,0,15,0,0,15.1,19,8,8,4,6,17,0,0,2,4.70,1.63,11.15,2.35,3.52,9.98,4.70,2.83,AAA,--,2018-2024,2021- 20- 608-OAK,2021
,30,Rio Britton,0,L,Fr,Reliever,0,0,15,0,0,0,15,0,0,15.1,11,7,6,1,8,18,2,1,1,3.52,1.24,6.46,0.59,4.70,10.57,4.11,2.25,A,--,2021-2024,2023- 15- 445-ARI,2021
,36,Caleb Sloan,0,R,Rs-So,Reliever,1,2,12,0,0,0,12,0,0,14.2,19,7,7,4,3,18,1,0,0,4.30,1.50,11.66,2.45,1.84,11.05,4.30,6.00,Indy,--,2021-2023,--,2021
,32,Peyton Fuller,22,R,Jr,Starter,1,0,3,3,0,0,0,0,0,11.1,12,3,3,0,6,4,0,0,0,2.38,1.59,9.53,0.00,4.76,3.18,2.38,0.67,College,--,2018-2023,--,2021
,41,Decker Stedman,0,L,So,Reliever,2,0,8,0,0,0,8,0,0,9.1,7,5,5,1,9,12,0,0,1,4.82,1.71,6.75,0.96,8.68,11.57,4.82,1.33,College,--,2020-2024,--,2021
,34,Scott Ellis,0,R,Fr,Reliever,0,0,8,0,0,0,8,0,0,8.0,8,4,4,0,4,5,1,1,0,4.50,1.50,9.00,0.00,4.50,5.62,4.50,1.25,College,--,2021-2024,--,2021
,28,Logan Mercado,0,R,Fr,St/Rel,1,0,2,1,0,0,1,0,0,6.0,4,3,3,0,4,5,0,0,1,4.50,1.33,6.00,0.00,6.00,7.50,4.50,1.25,College,--,2021-2024,--,2021
,22,Christian Ciuffetelli,0,R,So,Reliever,0,0,4,0,0,0,4,0,0,5.2,6,4,4,0,4,7,0,0,1,6.35,1.76,9.53,0.00,6.35,11.12,6.35,1.75,A,--,2019-2024,--,2021
,49,Brayden Spears,0,R,Fr,Reliever,0,0,1,0,0,0,1,0,0,1.0,1,1,1,0,1,1,0,0,1,9.00,2.00,9.00,0.00,9.00,9.00,9.00,1.00,Indy,--,2020-2023,--,2021
,--,Totals,--,--,--,--,39,16,209,55,0,0,154,0,13,495.0,465,231,204,43,182,513,40,12,47,3.71,1.31,8.45,0.78,3.31,9.33,4.20,2.82,--,--,--,0,2021
,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,2009
,12,Erik Stavert,21,R,Jr,Starter,5,6,14,14,1,0,0,0,0,94.2,78,40,32,10,36,82,8,0,13,3.04,1.20,7.42,0.95,3.42,7.80,3.80,2.28,A,--,2009-2011,2009- 7- 211-COL,2009
,13,Tyler Anderson,19,L,Fr,Starter,2,9,15,15,0,0,0,0,0,82.0,98,62,57,9,39,66,8,3,7,6.26,1.67,10.76,0.99,4.28,7.24,6.80,1.69,MLB,2016-2024,2009-2024,2011- 1- 20-COL,2009
,41,Madison Boer,19,R,Fr,St/Rel,1,8,17,10,2,0,7,0,0,62.0,67,53,48,4,31,37,5,1,6,6.97,1.58,9.73,0.58,4.50,5.37,7.69,1.19,AA,--,2009-2016,2011- 2- 87-MIN,2009
,27,Bennett Whitmore,21,L,Jr,Rel/St,1,6,15,7,0,0,8,0,0,46.2,61,41,32,3,17,35,6,0,3,6.17,1.67,11.76,0.58,3.28,6.75,7.91,2.06,A-,--,2009-2015,2010- 24- 732-SEA,2009
,47,Alex Keudell,19,R,Fr,Rel/St,0,6,15,6,1,0,9,0,0,43.2,40,26,25,6,18,24,2,1,6,5.15,1.33,8.24,1.24,3.71,4.95,5.36,1.33,A+,--,2009-2014,2012- 27- 842-TBA,2009
,16,Chris Garrison,19,R,Fr,Rel/St,0,3,12,3,0,0,9,0,0,31.2,32,20,16,4,19,15,2,1,1,4.55,1.61,9.09,1.14,5.40,4.26,5.68,0.79,College,--,2009-2012,2011- 28- 849-CHN,2009
,22,Drew Gagnier,20,R,So,Closer,1,0,23,1,0,0,22,0,7,30.0,14,13,9,1,25,30,5,0,3,2.70,1.30,4.20,0.30,7.50,9.00,3.90,1.20,A+,--,2007-2013,2010- 17- 523-DET,2009
,20,Zack Thornton,21,R,Jr,Reliever,0,1,15,0,0,0,15,0,0,23.1,25,18,16,2,15,16,3,0,3,6.17,1.71,9.64,0.77,5.79,6.17,6.94,1.07,AAA,--,2009-2017,2010- 23- 695-OAK,2009
,45,Ryan Fleckenstein,23,L,Jr,Reliever,1,1,28,0,0,0,28,0,0,21.2,22,17,13,2,14,11,2,2,1,5.40,1.66,9.14,0.83,5.82,4.57,7.06,0.79,Rk,--,2009-2011,--,2009
,55,Geoff Nichols,22,R,Jr,Reliever,1,2,20,0,0,0,20,0,0,19.0,28,21,14,2,10,18,3,1,3,6.63,2.00,13.26,0.95,4.74,8.53,9.95,1.80,College,--,2006-2010,--,2009
,10,Scott McGough,19,R,Fr,Reliever,1,0,18,0,0,0,18,0,0,19.0,24,14,11,2,5,15,4,0,1,5.21,1.53,11.37,0.95,2.37,7.11,6.63,3.00,MLB,2015-2024,2009-2024,2011- 5- 164-LAN,2009
,34,Blake Williams,21,R,Jr,Reliever,1,0,6,0,0,0,6,0,0,6.1,9,5,3,1,6,6,1,0,0,4.26,2.37,12.79,1.42,8.53,8.53,7.11,1.00,College,--,2007-2009,--,2009
,40,Joey Housey,19,R,Fr,Reliever,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,1,1,0,0,0,0.00,1.00,0.00,0.00,9.00,9.00,0.00,1.00,A+,--,2009-2014,2012- 27- 832-CIN,2009
,30,Justin LaTempa,22,R,Jr,Reliever,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,9.00,0.00,--,A,--,2006-2011,2010- 12- 384-ANA,2009
,6,KC Serna,19,R,Fr,Closer,0,0,2,0,0,0,2,0,1,1.0,0,0,0,0,3,0,0,0,0,0.00,3.00,0.00,0.00,27.00,0.00,0.00,0.00,AAA,--,2009-2017,2011- 42-1268-CLE,2009
,--,Riley Bevill,20,R,Rs,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,College,--,2009-2011,--,2009
,--,Totals,--,--,--,--,14,42,202,56,4,0,146,0,8,483.0,498,330,276,46,239,357,49,9,47,5.14,1.53,9.28,0.86,4.45,6.65,6.15,1.49,--,--,--,0,2009
,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,2023
,20,Logan Mercado,21,R,Jr,St/Rel,5,1,21,11,1,0,10,0,1,81.2,85,59,54,18,51,78,4,0,4,5.95,1.67,9.37,1.98,5.62,8.60,6.50,1.53,College,--,2021-2024,--,2023
,9,Jace Stoffal,20,R,Jr,Starter,6,2,10,10,1,1,0,0,0,57.1,37,20,18,6,23,56,2,0,1,2.83,1.05,5.81,0.94,3.61,8.79,3.14,2.43,College,--,2022-2023,2023- 8- 237-MIN,2023
,32,Turner Spoljaric,0,R,Fr,Rel/St,7,0,17,8,0,0,9,0,0,55.0,71,43,40,8,23,32,8,3,2,6.55,1.71,11.62,1.31,3.76,5.24,7.04,1.39,College,--,2023-2024,--,2023
,12,Matt Dallas,24,R,Sr,Reliever,6,2,31,0,0,0,31,0,3,53.1,43,32,30,12,18,41,1,1,9,5.06,1.14,7.26,2.03,3.04,6.92,5.40,2.28,Indy,--,2019-2023,--,2023
,2,Grayson Grinsell,0,L,Fr,Rel/St,2,1,30,3,0,0,27,0,1,48.1,41,26,24,4,26,67,2,0,4,4.47,1.39,7.63,0.74,4.84,12.48,4.84,2.58,College,--,2023-2024,--,2023
,46,Matthew Grabmann,0,R,Fr,St/Rel,1,3,17,10,0,0,7,0,0,47.0,40,24,24,5,30,37,5,0,12,4.60,1.49,7.66,0.96,5.74,7.09,4.60,1.23,College,--,2023-2024,--,2023
,39,Leo Uelmen,0,R,Fr,St/Rel,3,4,14,10,0,0,4,0,0,46.0,57,43,38,9,28,34,1,0,11,7.43,1.85,11.15,1.76,5.48,6.65,8.41,1.21,College,--,2023-2023,--,2023
,41,Jackson Pace,0,R,Fr,St/Rel,2,4,15,11,0,0,4,0,0,45.2,61,53,44,3,26,26,2,1,12,8.67,1.91,12.02,0.59,5.12,5.12,10.45,1.00,College,--,2023-2023,--,2023
,40,Josh Mollerus,23,R,Sr,Closer,3,3,28,0,0,0,28,0,11,36.2,27,15,14,5,18,50,5,0,4,3.44,1.23,6.63,1.23,4.42,12.27,3.68,2.78,A+,--,2019-2024,2023- 10- 304-TOR,2023
,30,Austin Anderson,0,R,Jr,Reliever,4,0,23,0,0,0,23,0,0,27.1,10,2,2,0,25,39,4,0,7,0.66,1.28,3.29,0.00,8.23,12.84,0.66,1.56,College,--,2023-2023,--,2023
,49,Dylan McShane,0,R,Fr,Reliever,1,2,21,0,0,0,21,0,0,21.0,21,23,21,1,12,13,3,0,9,9.00,1.57,9.00,0.43,5.14,5.57,9.86,1.08,College,--,2023-2023,--,2023
,24,Ian Umlandt,0,L,Fr,Reliever,1,0,17,0,0,0,17,0,0,17.1,21,6,5,1,5,9,0,0,1,2.60,1.50,10.90,0.52,2.60,4.67,3.12,1.80,College,--,2023-2024,--,2023
,33,Jacob Hughes,20,R,So,Reliever,0,0,13,0,0,0,13,0,0,13.0,6,7,6,0,22,14,3,1,1,4.15,2.15,4.15,0.00,15.23,9.69,4.85,0.64,College,--,2022-2024,--,2023
,53,Logan Olson,19,L,Fr,Reliever,0,0,8,0,0,0,8,0,0,6.1,6,5,3,0,12,6,1,0,4,4.26,2.84,8.53,0.00,17.05,8.53,7.11,0.50,College,--,2023-2024,--,2023
,22,Jackson Jaha,20,R,Fr,Reliever,0,0,2,0,0,0,2,0,0,2.1,2,2,2,0,2,1,0,0,0,7.71,1.71,7.71,0.00,7.71,3.86,7.71,0.50,College,--,2023-2023,2022- 15- 449-NYN,2023
,43,Gus Rogers,0,L,Fr,Reliever,0,0,1,0,0,0,1,0,0,0.2,4,3,3,3,0,2,0,0,0,40.50,6.00,54.00,40.50,0.00,27.00,40.50,--,College,--,2023-2024,--,2023
,--,Totals,--,--,--,--,41,22,268,63,2,1,205,0,16,559.0,532,363,328,75,321,505,41,6,81,5.28,1.53,8.57,1.21,5.17,8.13,5.84,1.57,--,--,--,0,2023
,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,2022
,1,Isaac Ayon,0,R,So,Starter,4,4,17,16,2,0,1,0,0,87.1,109,63,56,11,29,80,2,0,12,5.77,1.58,11.23,1.13,2.99,8.24,6.49,2.76,College,--,2021-2022,2023- 20- 585-WAS,2022
,66,R.J. Gordon,0,R,So,Rel/St,4,3,20,8,0,0,12,0,1,68.2,75,47,43,8,34,48,7,0,8,5.64,1.59,9.83,1.05,4.46,6.29,6.16,1.41,College,--,2021-2024,2024- 13- 383-NYN,2022
,20,Logan Mercado,0,R,So,Reliever,6,2,25,0,0,0,25,0,0,41.1,38,14,12,4,12,41,1,0,4,2.61,1.21,8.27,0.87,2.61,8.93,3.05,3.42,College,--,2021-2024,--,2022
,30,Rio Britton,0,L,So,Reliever,4,1,34,0,0,0,34,0,1,39.1,25,16,14,3,20,35,5,0,1,3.20,1.14,5.72,0.69,4.58,8.01,3.66,1.75,A,--,2021-2024,2023- 15- 445-ARI,2022
,12,Matt Dallas,23,R,Jr,Rel/St,4,2,29,1,0,0,28,0,0,38.0,43,21,19,4,14,34,1,0,7,4.50,1.50,10.18,0.95,3.32,8.05,4.97,2.43,Indy,--,2019-2023,--,2022
,24,Kolby Somers,23,L,Sr,Closer,5,3,26,0,0,0,26,0,9,33.0,31,18,12,5,15,44,4,2,2,3.27,1.39,8.45,1.36,4.09,12.00,4.91,2.93,College,--,2018-2022,2017- 38-1143-SEA,2022
,36,Caleb Sloan,0,R,Jr,Rel/St,0,1,21,3,0,0,18,0,0,33.0,35,19,15,2,21,32,3,1,8,4.09,1.70,9.55,0.55,5.73,8.73,5.18,1.52,Indy,--,2021-2023,--,2022
,7,Christian Ciuffetelli,22,R,Jr,Rel/St,1,3,22,7,0,0,15,0,1,33.0,29,15,13,5,17,32,2,0,4,3.55,1.39,7.91,1.36,4.64,8.73,4.09,1.88,A,--,2019-2024,--,2022
,45,Dylan Sabia,0,R,Sr,Rel/St,2,0,25,2,0,0,23,0,0,32.2,31,20,19,7,19,21,5,0,2,5.23,1.53,8.54,1.93,5.23,5.79,5.51,1.11,College,--,2018-2022,--,2022
,21,Jace Stoffal,0,R,So,Starter,1,3,8,8,0,0,0,0,0,29.0,31,19,18,4,11,17,1,0,2,5.59,1.45,9.62,1.24,3.41,5.28,5.90,1.55,College,--,2022-2023,2023- 8- 237-MIN,2022
,23,Andrew Mosiello,0,R,So,Rel/St,1,1,15,3,0,0,12,0,0,24.0,16,15,13,1,21,20,2,0,6,4.88,1.54,6.00,0.38,7.88,7.50,5.62,0.95,College,--,2020-2024,--,2022
,52,Stone Churby,0,R,Jr,Reliever,1,0,20,0,0,0,20,0,0,18.0,20,10,10,2,13,18,2,1,2,5.00,1.83,10.00,1.00,6.50,9.00,5.00,1.38,College,--,2018-2022,--,2022
,47,Tommy Brandenburg,0,R,Fr,St/Rel,1,1,8,4,0,0,4,0,0,16.2,14,15,14,3,15,10,1,0,3,7.56,1.74,7.56,1.62,8.10,5.40,8.10,0.67,College,--,2022-2023,--,2022
,51,Adam Maier,20,R,So,Starter,1,1,3,3,0,0,0,0,0,15.2,11,9,7,3,6,19,3,0,4,4.02,1.09,6.32,1.72,3.45,10.91,5.17,3.17,A+,--,2020-2024,2022- 7- 215-ATL,2022
,33,Jacob Hughes,0,R,Fr,Rel/St,1,0,8,3,0,0,5,0,0,15.0,12,11,11,0,16,7,1,1,0,6.60,1.87,7.20,0.00,9.60,4.20,6.60,0.44,College,--,2022-2024,--,2022
,34,Scott Ellis,0,R,So,Rel/St,0,0,11,3,0,0,8,0,0,14.1,14,8,8,1,11,9,0,0,4,5.02,1.74,8.79,0.63,6.91,5.65,5.02,0.82,College,--,2021-2024,--,2022
,--,Totals,--,--,--,--,36,25,292,61,2,0,231,0,12,539.0,534,320,284,63,274,467,40,5,69,4.74,1.50,8.92,1.05,4.58,7.80,5.34,1.70,--,--,--,0,2022
,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,2019
,16,Robby Ahlstrom,20,L,So,St/Rel,5,7,16,10,0,0,6,0,0,73.1,70,37,32,9,20,61,5,1,2,3.93,1.23,8.59,1.10,2.45,7.49,4.54,3.05,AAA,--,2019-2024,2021- 7- 213-NYA,2019
